Ticker,Date,Time,Headline,neg,neu,pos,compound
NIO,Mar-08-21,01:59PM,XPeng Motors Vice-Chairman & President: we are closely monitoring the chip shortage,0.167,0.833,0.0,-0.25
NIO,Mar-08-21,09:30AM,Futures mixed as tech shares dip treasury yields jump,0.0,0.636,0.364,0.4588
NIO,Mar-08-21,08:45AM,Auto Stock Roundup: Quarterly Results of NIO & AZO Buyout Updates From LAD & PAG,0.0,1.0,0.0,0.0
NIO,Mar-08-21,08:03AM,Thinking About Buying Stock In Peloton Nio Coca-Cola Or Bumble?,0.0,1.0,0.0,0.0
NIO,Mar-08-21,07:35AM,Chinese electric car maker Xpeng sees 'big momentum' into March: vice chairman and president,0.0,1.0,0.0,0.0
NIO,Mar-08-21,06:49AM,Top Car Stocks for Q2 2021,0.0,0.735,0.265,0.2023
NIO,Mar-08-21,06:30AM,XPeng Beats Q4 Revenues Guides For Strong Q1 Deliveries,0.0,0.708,0.292,0.5106
NIO,Mar-08-21,06:21AM,XPeng stock falls toward 4-month low after wider-than-expected loss while revenue rises fourfold,0.286,0.714,0.0,-0.5267
NIO,Mar-08-21,05:14AM,Tesla VP Says EV Charging Not Battery Swapping Is The Way Forward,0.0,1.0,0.0,0.0
NIO,Mar-05-21,05:45PM,The Next Tesla May Emerge From This Explosion Of New EV Stocks,0.0,1.0,0.0,0.0
NIO,Mar-05-21,04:30PM,Stock Market Falls Into Correction As Treasury Yields Jump On Fed Chief Powell; Oil Soars Target Tesla Zoom Tumble,0.0,0.909,0.091,0.2023
NIO,Mar-05-21,04:12PM,Volkswagen Accelerates EV Production Plans As Tesla Nio Continue To Crash,0.213,0.787,0.0,-0.4019
NIO,Mar-05-21,03:05PM,Dow Jones Surges 500 Points Nasdaq Up As Stock Market Rallies After Early Sell-Off,0.0,1.0,0.0,0.0
NIO,Mar-05-21,12:19PM,Dow Dips Nasdaq Dives After This Yield Hits 2021 High; Tesla Meltdown Continues,0.0,1.0,0.0,0.0
NIO,Mar-05-21,11:42AM,The electric vehicle Gold Rush: A look at EV startups going public,0.0,1.0,0.0,0.0
NIO,Mar-04-21,04:02PM,General Motors Looks To Add More Juice To Electric Vehicle Transformation,0.0,1.0,0.0,0.0
NIO,Mar-04-21,02:09PM,Why NIO Stock Is Down Today,0.0,1.0,0.0,0.0
NIO,Mar-04-21,10:11AM,NIO Stock: Cash Secured Put Update,0.0,0.649,0.351,0.4019
NIO,Mar-04-21,09:52AM,Tesla and Nio have sold off but the EV party is just getting started and China is key say these analysts,0.0,0.849,0.151,0.5499
NIO,Mar-04-21,06:01AM,Nio: Selloff After Earnings Could Present An Accumulation Opportunity,0.0,0.741,0.259,0.4215
NIO,Mar-03-21,04:07PM,Ford Mustang Mach-E Grabs EV Share From Tesla,0.0,0.761,0.239,0.296
NIO,Mar-03-21,01:35PM,We Asked 1000 Readers Why They Invested In Tesla Nio Li Auto And Xpeng,0.0,1.0,0.0,0.0
NIO,Mar-03-21,12:00PM,Dow Rallies After Biden Vaccine Pledge Even As Bond Yields Rise; Boeing Stock Flies,0.0,1.0,0.0,0.0
NIO,Mar-03-21,10:25AM,Dow Falls Despite Biden Vaccine Pledge Amid Weak Jobs Data; Boeing Flies; Bitcoin Surges,0.182,0.818,0.0,-0.4404
NIO,Mar-03-21,10:10AM,J.P. Morgan: Dont Say Bye Bye to NIO Stock Say Buy Buy,0.0,1.0,0.0,0.0
NIO,Mar-03-21,08:01AM,Dow Jones Futures Signal Stock Market Rally Rebound; Vaccine Play Soars,0.0,0.806,0.194,0.34
NIO,Mar-03-21,08:00AM,Why NIO Stock Sank 19.7% in February,0.0,1.0,0.0,0.0
NIO,Mar-03-21,01:18AM,NIO Limited (NYSE:NIO): Is Breakeven Near?,0.275,0.725,0.0,-0.2263
NIO,Mar-02-21,05:24PM,NIO: Stock Weakness Should Serve as Buying Opportunity Says Analyst,0.206,0.588,0.206,0.0
NIO,Mar-02-21,05:05PM,PreMarket Prep Stock Of The Day: Nio,0.0,1.0,0.0,0.0
NIO,Mar-02-21,04:25PM,Nio Stock Falls On Mixed Q4 Earnings Report Chip-Shortage Warning,0.211,0.789,0.0,-0.34
NIO,Mar-02-21,04:09PM,EV Stocks Xpeng Li Auto Fall As Global Headwind To Follow Seasonal Slowdown,0.0,1.0,0.0,0.0
NIO,Mar-02-21,04:08PM,Volvo Cars to double U.S. footprint as it aims to go all electric by 2030,0.0,1.0,0.0,0.0
NIO,Mar-02-21,02:48PM,NIO Stock Is Falling. Heres What Analysts Are Saying.,0.167,0.833,0.0,-0.1531
NIO,Mar-02-21,01:47PM,Dow Jones Attracts Buyers Amid Tech Weakness; Sellers Hit Zoom Video Stock Despite Bullish Earnings Guidance,0.144,0.718,0.138,-0.0258
NIO,Mar-02-21,12:16PM,Dow Jones Slides As Stocks Reverse; Target Falls On These Fears; Nio Boeing Stall,0.277,0.723,0.0,-0.5574
NIO,Mar-02-21,11:54AM,NIO XPeng Pulled Stock Markets Lower Tuesday. Here's Why,0.216,0.784,0.0,-0.296
NIO,Mar-02-21,11:45AM,Dow Jones Turns Red As Stock Market Sells Off; Nio Dives On Earnings,0.0,1.0,0.0,0.0
NIO,Mar-02-21,11:26AM,Nio heads deeper into bear market after earnings,0.0,1.0,0.0,0.0
NIO,Mar-02-21,10:26AM,Dow Reverses Tech Stocks Fall As Nio Dives On Earnings; Zoom Soars On Big Beat,0.0,1.0,0.0,0.0
NIO,Mar-02-21,09:22AM,Nio Reports Mixed 4Q Results; Shares Drop 5.9% Pre-Market,0.458,0.396,0.145,-0.694
